Change Physical Footprint: Designator=B2 Old Footprint=5754 New Footprint=5754
Change Physical Footprint: Designator=J1 Old Footprint=CONN_1217861-1_TEC New Footprint=CONN_1217861-1_TEC
Change Physical Footprint: Designator=J2 Old Footprint=CONN_1217861-1_TEC New Footprint=CONN_1217861-1_TEC
Change Physical Footprint: Designator=J3 Old Footprint=CONN_1217861-1_TEC New Footprint=CONN_1217861-1_TEC
Change Physical Footprint: Designator=J4 Old Footprint=CONN_1217861-1_TEC New Footprint=CONN_1217861-1_TEC
Change Physical Footprint: Designator=J5 Old Footprint=CONN_1217861-1_TEC New Footprint=CONN_1217861-1_TEC
Change Physical Footprint: Designator=J6 Old Footprint=CONN_1217861-1_TEC New Footprint=CONN_1217861-1_TEC
Change Physical Footprint: Designator=J7 Old Footprint=CONN_1217861-1_TEC New Footprint=CONN_1217861-1_TEC
Change Physical Footprint: Designator=J8 Old Footprint=CONN_1217861-1_TEC New Footprint=CONN_1217861-1_TEC
Change Physical Footprint: Designator=J9 Old Footprint=CONN_1217861-1_TEC New Footprint=CONN_1217861-1_TEC
Change Physical Footprint: Designator=J10 Old Footprint=CONN_1217861-1_TEC New Footprint=CONN_1217861-1_TEC
Change Physical Footprint: Designator=J11 Old Footprint=CONN_1217861-1_TEC New Footprint=CONN_1217861-1_TEC
Change Physical Footprint: Designator=J12 Old Footprint=CONN_1217861-1_TEC New Footprint=CONN_1217861-1_TEC
